Place,Surface,Room Number,Flooring,Balcony,Price
Adice,29,0.5,0,0,37600.0
Bulevar Oslobođenja,50,2.0,2,1,123600.0
Sajmište,60,2.5,3,1,129900.0
Rotkvarija,111,4.0,4,1,228600.0
Novo Naselje,53,2.5,2,1,118500.0
Bulevar Evrope,87,3.0,1,1,288400.0
Bulevar Evrope,53,1.5,4,0,92700.0
Sajmište,29,0.5,4,1,81370.0
Novo Naselje,49,2.0,4,1,85800.0
Nova Detelinara,85,4.0,1,1,118450.0
Telep,100,4.0,0,1,249260.0
Liman,30,1.0,1,0,77250.0
Novo Naselje,31,1.0,3,1,74160.0
Stari Grad,81,3.0,1,0,196000.0
Novo Naselje,74,3.0,3,1,203450.0
Stari Grad,79,4.0,5,0,306950.0
Stari Grad,67,3.0,4,0,180000.0
Grbavica,103,4.0,6,1,164800.0
Telep,84,3.5,1,1,185900.0
Majur,48,2.0,4,0,101090.0
Majur,37,1.5,4,0,83570.0
Bulevar Oslobođenja,70,3.0,7,0,217000.0
Majur,26,0.5,2,0,69700.0
Sremska Kamenica,71,3.5,0,1,92700.0
Stari Grad,39,1.5,5,0,92700.0
Petrovaradin,45,2.0,-1,1,74100.0
Sremska Kamenica,39,1.5,2,1,61800.0
Liman,81,3.0,2,1,230000.0
Banatić,25,1.0,11,1,54000.0
Nova Detelinara,54,2.5,3,1,113300.0
Stari Grad,36,1.0,-1,0,77250.0
Nova Detelinara,54,2.5,3,1,113300.0
Stari Grad,36,1.0,-1,0,77250.0
Salajka,47,2.0,1,1,95400.0
Salajka,85,4.0,3,1,161090.0
Salajka,86,4.0,2,1,161090.0
Salajka,50,2.0,3,1,101360.0
Salajka,44,2.0,3,1,90932.0
Salajka,55,3.0,3,1,109590.0
Rotkvarija,77,3.0,2,1,164800.0
Salajka,50,2.0,2,1,101360.0
Rotkvarija,122,4.0,5,1,430000.0
Rotkvarija,82,3.0,1,1,173140.0
Grbavica,71,4.0,5,1,173000.0
Grbavica,22,0.5,4,0,72100.0
Rotkvarija,125,4.0,2,1,309000.0
Bulevar Oslobođenja,64,3.5,5,1,144200.0
Detelinara,62,3.0,2,1,125660.0
Rotkvarija,23,0.5,0,0,62000.0
Petrovaradin,87,3.0,1,1,134420.0
Podbara,56,2.5,1,0,164800.0
Satelit,30,1.0,1,0,71070.0
Podbara,43,2.0,4,1,123600.0
Salajka,50,2.0,1,1,149350.0
Telep,15,0.5,0,0,27500.0
Nova Detelinara,84,4.0,5,1,129750.0
Novo Naselje,55,2.0,0,1,108000.0
Liman,73,3.0,5,1,175100.0
Grbavica,48,2.0,5,1,118450.0
Stari Grad,57,2.0,2,0,152440.0
Telep,44,2.0,1,1,108800.0
Nova Detelinara,66,3.0,4,1,142750.0
Novo Naselje,36,1.5,2,1,81500.0
Stari Grad,80,3.0,3,1,181500.0
Grbavica,33,1.0,1,0,77000.0
Novo Naselje,55,1.5,4,1,82400.0
Detelinara,47,2.0,4,1,64000.0
Nova Detelinara,25,0.5,1,0,69500.0
Nova Detelinara,56,2.0,2,1,104000.0
Detelinara,48,2.0,2,1,105000.0
Grbavica,58,2.5,1,1,153970.0
Sajmište,49,1.5,1,1,151410.0
Podbara,54,2.0,2,0,83430.0
Adice,75,4.0,1,0,93000.0
Adice,34,1.0,1,0,56050.0
Bulevar Oslobođenja,75,2.5,8,1,139050.0
Salajka,43,1.5,1,0,127250.0
Stari Grad,77,3.0,2,1,160000.0
Adice,42,2.0,1,0,68300.0
Podbara,52,2.5,2,1,139250.0
Banatić,56,2.5,1,1,175100.0
Grbavica,123,4.0,6,1,376000.0
Sajmište,47,2.5,0,1,123600.0
Liman,100,4.0,1,0,329600.0
Satelit,49,2.0,1,1,103000.0
Detelinara,23,0.5,5,0,56650.0
Novo Naselje,50,2.0,4,0,77500.0
Stari Grad,73,3.0,4,0,133900.0
Nova Detelinara,83,3.0,5,1,136800.0
Bulevar Evrope,54,2.0,4,1,132500.0
Telep,48,3.0,0,1,104500.0
Telep,65,2.5,0,0,167400.0
Telep,150,4.0,1,0,340000.0
Stari Grad,67,3.0,4,1,195200.0
Nova Detelinara,26,0.5,3,1,73000.0
